ID,ProjectID,Visible By,Contract,Title,Client Ministry,Impact On,RAID Tracking ID,Status,Owner,Category,Description,Probability number,Probability,Impact,Impact On.1,Mitigation Plan,Assigned To,Raised By,Created,Created By,Modified,Modified By,ProjectName,Stream,Zone,Escalation Level,owning team,committee Assigned
1,CIR78,GMCB,LMRN,W6251-R0001: Bell - Relocation of CNS to adjacent site Dyers Bay,GMCB,,PWA,Closed,"Cameron, Stephen (SOLGEN)",External,RFC # 39 in critical path for relocation of CNS from Cyprus Lake to Dyers Bay.,0.7,Medium=2,Medium=2,,2021-11-30: RFC approved and signed. Close risk. March of 2022 for circuit readiness.,"Cameron, Stephen (SOLGEN)",,4/27/2021 13:21,"Cameron, Stephen (SOLGEN)",12/9/2021 9:26,"Nerona, Marliza (SOLGEN)",Cyprus Lake BC,PSRN.LMRN.WS-6,SW,Level 3,Build/Network,Delivery Team- Network Build
4,EP100046,GMCB,LMRN,"Parks design is not finalized, impacting the ability to finalize user equipment packages. ",GMCB,Site Design,R-17,Closed,"Zaniewski, Martin (SOLGEN)",Scope,"Parks Control Point package is not correct, requires further exploration and may impact contract/cost and design. This is also impacting the completion of Parks Fleetmapping.",0.75,Medium=2,Low=1,Site Design,"Jan 08: Alternative control point solution identified, utilizing tone remotes instead an APX consolette which didnÃÂt align with the Parks solution.Test of proposed single-site solution planned for January. Once solution alignment is achieved with LRC and MECP, GMCB will engage BMR to update control point package and commence site specific designs.","Farah, Aziz (SOLGEN)",,9/21/2020 18:47,"Maksimenko, Alexander (SOLGEN)",3/26/2021 9:11,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
5,EP100046,GMCB,LMRN,Potential lack of funding by some of partner ministries.,GMCB,Site Remediation,R-9,Open,"Eckert, Tejal (SOLGEN)",Financial,"IF there is a lack of funding for site remediation by some of our partner ministries, THEN additional funding may be required from the PSRN budget to complete deployment.",0.9,High=3,Low=1,Site Remediation,Currently determining for Ministry Sites the scope of what Bell has included in their bid to define the gaps that would be funded by the Ministry Partner / GMCB,"McNab, Timothy (SOLGEN)",,9/21/2020 18:53,"Maksimenko, Alexander (SOLGEN)",9/23/2022 14:45,"Calabrese, Tania (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
6,EP100046,GMCB,LMRN,New Tower builds for Cambridge and Georgian may not be complete in time for Transition Phase,GMCB,Tower Work,R-21,Closed,"Enumah, Henry (SOLGEN)",Schedule,"If the required tower reinforcements at Cambridge and Georgian MOH Com Centers is not complete in time for transition THEN the schedule could be impacted because of the follow-on activities (e.g. delivery and review of design, quotes and vendor selection) that still needs to be done.",0.5,Medium=2,High=3,Tower Work,Adjust transition plan schedule as required or further escalate tower build activity,"Quinn, Christina (SOLGEN)",GMCB,9/23/2020 7:49,"Maksimenko, Alexander (SOLGEN)",3/9/2023 12:16,"Atafo, Barbara (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
7,EP100046,GMCB,LMRN,Potential savings with Ambulance Base Package modificaiton,GMCB,UE Packages,R-16,Closed,"Zaniewski, Martin (SOLGEN)",Scope,"IF the proposed ambulance base package is modified by removing one non-essential requirement, THEN this could result in an estimated savings of ~$2M to MOH and a more acceptable device form factor.",0.5,Medium=2,Low=1,UE Packages,,"Sheikh, Mohamed (SOLGEN)",GMCB,9/23/2020 8:02,"Maksimenko, Alexander (SOLGEN)",3/3/2021 19:01,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
8,EP100046,GMCB,LMRN,BMR change to Process Flow for site Visits. Substituting  site audit document for basic site survey (check list).,GMCB,Site Visits,R-22,Closed,"Zaniewski, Martin (SOLGEN)",Subcontractors and Suppliers,IF BMR change to Process Flow for Site Visits would introduce the gaps THEN mitigation plan will be required.,0.35,Low=1,High=3,Site Visits,Awaiting submission of revised checklist to determine the gap or risks that are introduced by simplifying the site visit,"Osborne, Ian (SOLGEN)",,9/23/2020 8:45,"Maksimenko, Alexander (SOLGEN)",2/22/2021 9:58,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
9,EP100046,GMCB,LMRN,Electrical capacity challenges at Orillia and North Bay PCC's.,GMCB,Site Remediation,R-20,Open,"Zaniewski, Martin (SOLGEN)",Ministry Partner,IF there electrical capacity challenges at Orillia and North Bay PCC's THEN sites remediation would be required.,0.75,Medium=2,Medium=2,Site Remediation,"Feb 22, 2021: The Site Design Documents for PCCL and PCCO are with the OPP. GMCB will review at Feb 25 meeting and document any remediation, if any. No site visit to PCCNB has been scheduled as it is in NEZ. --- Early site visits resulting in early design document creation to identify remediation needs.","Mbolekwa, Piko (SOLGEN)",,9/23/2020 8:50,"Maksimenko, Alexander (SOLGEN)",3/23/2022 15:07,"Mbolekwa, Piko (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 3,AD/SS,Delivery Team- Deployment
10,EP100046,GMCB,LMRN,Potential resource constraints for OPP to support site visits.,GMCB,Scheduling,R-19,Closed,"Persaud, Shiri (TBS)",Ministry Partner,"IF there is a resource constraints for OPP to assist in site visits THEN Advanced Deployment schedule would be impacted (e.g. Site Visits, Coverage Acceptance, Remediation, etc.).",0.75,Medium=2,Medium=2,Scheduling,Early engagement and scheduling with OPP involvement to ensure we can accommodate resourcing challenges.,"Persaud, Shiri (TBS)",,9/23/2020 8:50,"Maksimenko, Alexander (SOLGEN)",6/22/2021 14:32,"Persaud, Shiri (TBS)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
11,EP100046,GMCB,LMRN,Sites Structural Drawing may not be available and should be re-created.,GMCB,Site Structural Drawing,R-14,Closed,"Zaniewski, Martin (SOLGEN)",Financial,IF Construction Drawings are not available THEN Antenna Mounts cost for Minnistry Partners would increase.,0.85,High=3,Medium=2,Site Structural Drawing,Early engagement with Ministry Partners to enable them to locate and obtain necessary construction drawings prior to site visits commencing.,"McNab, Timothy (SOLGEN)",,9/23/2020 9:33,"Maksimenko, Alexander (SOLGEN)",1/20/2022 9:01,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
12,EP100046,GMCB,LMRN,COVID-19 protocol may prevent site visits plan.,GMCB,Site Visits,R-5,Closed,"Zaniewski, Martin (SOLGEN)",Environmental,IF COVID-19 Pandemic would prevent us from conducting Site Visits THEN Advanced Deployment schedule would be impacted.,0.95,High=3,Low=1,Site Visits,Early engagement with Ministry Partners and identifying impacts early to enable proactive communications to various sites.,"Maksimenko, Alexander (SOLGEN)",,9/23/2020 9:39,"Maksimenko, Alexander (SOLGEN)",1/20/2022 8:55,"Maksimenko, Alexander (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 1,AD/SS,Delivery Team- Deployment
13,EP100046,GMCB,LMRN,Infrastructure Ontario may have some changes in insurance requirements for their sites.,GMCB,Site Visits,R-13,Monitoring,"Zaniewski, Martin (SOLGEN)",Subcontractors and Suppliers,IF there is a risk for additional or different insurance requirements for IO Leased sites THEN they would apply to Bell or their subcontractors.,0.8,High=3,Medium=2,Site Visits,Engage IO to determine if any mitigating steps can be put in place based on terms of LMRN contract; otherwise need to begin identifying which sites this impacts in advance.,"Zaniewski, Martin (SOLGEN)",,9/23/2020 9:51,"Maksimenko, Alexander (SOLGEN)",10/27/2021 15:44,"Szotek, Lucas (SOLGEN)",PSRN WS-7 MSRD Stream Plan,PSRN.LMRN.WS-7,All,Level 2,AD/SS,Delivery Team- Deployment
